dossiernr,sector_code,probability,predictor_id
e9914fd8fdfc0ea24bc997e2cfaad053ad48074c,47899,0.915318,7
e9914fd8fdfc0ea24bc997e2cfaad053ad48074c,3213,0.887693,7
e9914fd8fdfc0ea24bc997e2cfaad053ad48074c,46425,0.864192,7
0cdd82dce33cf1523f9a0f0598526107bac796a2,70222,0.736011,7
a9fa1428b6aadbf8aa963748328bcb3d68d29531,85519,0.937803,7
a9fa1428b6aadbf8aa963748328bcb3d68d29531,86923,0.529142,7
51a1a7a072ea1bb8b9f2621227e11ac23656411f,85599,0.667128,7
51a1a7a072ea1bb8b9f2621227e11ac23656411f,85592,0.586166,7
201e2350ee9b92914009d9c69c922d9584833133,18123,0.721101,7
201e2350ee9b92914009d9c69c922d9584833133,1813,0.534622,7
201e2350ee9b92914009d9c69c922d9584833133,1814,0.514444,7
bd36b705aeed3a5a411345561e3972b5db779448,81221,0.679879,7
11eb35e407ceda7f94c63675e17f83affd633845,90011,0.709844,7
a23237b655bcd04f38d6f803ba4003ee4c26d321,96022,0.990869,7
a23237b655bcd04f38d6f803ba4003ee4c26d321,47919,0.645273,7
a23237b655bcd04f38d6f803ba4003ee4c26d321,47911,0.641663,7
a23237b655bcd04f38d6f803ba4003ee4c26d321,47914,0.579018,7
a23237b655bcd04f38d6f803ba4003ee4c26d321,4645,0.575459,7
bf135c4f0ae4d88837b2992b2c01d2bce34d8ad8,85592,0.58013,7
d6b2440d08d9082e9a385d88eee50bb30e918a67,47916,0.655503,7
d6b2440d08d9082e9a385d88eee50bb30e918a67,47717,0.655456,7
d6b2440d08d9082e9a385d88eee50bb30e918a67,47713,0.511049,7
d6b2440d08d9082e9a385d88eee50bb30e918a67,47915,0.502487,7
811087ddbad62c0009330b61d45c3fafc5902b44,7112,0.676444,7
99f0365bf85a76446703a06173b37b1dee45e4b4,8121,0.775155,7
99f0365bf85a76446703a06173b37b1dee45e4b4,81229,0.553882,7
89c1157990206b3b8d714e775a5e0ac2ccddf921,47919,0.607173,7
aae9bfe01bfa18473a6bf5fc94d008904cb0a65e,7311,0.563961,7
f8f702e25d7ea313e87a750bb771b48f0f936397,4221,0.662322,7
cb58d4bb3f330e6b307a24f250c217f3da16b940,5530,0.99951,7
cb58d4bb3f330e6b307a24f250c217f3da16b940,55201,0.861646,7
cb58d4bb3f330e6b307a24f250c217f3da16b940,55102,0.71328,7
cb58d4bb3f330e6b307a24f250c217f3da16b940,0111,0.544946,7
cb58d4bb3f330e6b307a24f250c217f3da16b940,68203,0.541732,7
f84f263b269235488cced586ee5f7cfb08a9fef7,47914,0.922678,7
f84f263b269235488cced586ee5f7cfb08a9fef7,47713,0.726856,7
f84f263b269235488cced586ee5f7cfb08a9fef7,47712,0.725581,7
f84f263b269235488cced586ee5f7cfb08a9fef7,46421,0.645748,7
f84f263b269235488cced586ee5f7cfb08a9fef7,46425,0.529136,7
0f796b48bd99057dc1ab8465fa6894bf215a1ac5,6203,0.743775,7
0f796b48bd99057dc1ab8465fa6894bf215a1ac5,6202,0.725344,7
0f796b48bd99057dc1ab8465fa6894bf215a1ac5,6209,0.700505,7
0f796b48bd99057dc1ab8465fa6894bf215a1ac5,74102,0.656914,7
0f796b48bd99057dc1ab8465fa6894bf215a1ac5,74101,0.609981,7
4735c976ffb1083132b2f71840f2d0935bd1784b,46779,0.901202,7
4735c976ffb1083132b2f71840f2d0935bd1784b,46772,0.622474,7
4735c976ffb1083132b2f71840f2d0935bd1784b,3821,0.572416,7
4735c976ffb1083132b2f71840f2d0935bd1784b,77399,0.530631,7
4735c976ffb1083132b2f71840f2d0935bd1784b,46762,0.524385,7
3182dccfc31bb3febb886ac1847a429ac2ad0efd,47915,0.74522,7
3182dccfc31bb3febb886ac1847a429ac2ad0efd,47919,0.708287,7
3182dccfc31bb3febb886ac1847a429ac2ad0efd,46499,0.615086,7
3182dccfc31bb3febb886ac1847a429ac2ad0efd,47789,0.599167,7
3182dccfc31bb3febb886ac1847a429ac2ad0efd,47899,0.590502,7
4bd364be1b55f6925b54b8d4fbbde40b9f5f12e3,8810,0.551769,7
ca39de1ce715c26f754cf9310964266340f513f2,5530,0.994616,7
ca39de1ce715c26f754cf9310964266340f513f2,5630,0.849368,7
ca39de1ce715c26f754cf9310964266340f513f2,55201,0.781106,7
ca39de1ce715c26f754cf9310964266340f513f2,55102,0.67377,7
ca39de1ce715c26f754cf9310964266340f513f2,55101,0.550823,7
5a7390c46f3d042fbcbec2a265fc70a94a6c2216,855,0.522987,7
530e5f3de3ef5e845ad288ed601238735b1441a6,71202,0.543305,7
67852c1d1b174f11bf62750788ca0cf04b9274c3,85522,0.560967,7
ecc4bf57b6f9823edf48f1eff00def12b6f4fb67,7021,0.525785,7
ecc4bf57b6f9823edf48f1eff00def12b6f4fb67,70222,0.502347,7
700f902d173d085d8d485607180007456ea29abb,74102,0.504552,7
460455bc88eef6764d2c3bac08d21ab176236141,9604,0.777765,7
0b1bb4c6c06d7effe6102092a8a597b1c25643ec,69203,0.88478,7
43450546f5165d133d244c5cb1fcfffadd93b537,90012,0.623173,7
43450546f5165d133d244c5cb1fcfffadd93b537,90013,0.536025,7
c88d7d59897e98a7ac83e95a8f936da71a79c5b9,6202,0.511449,7
c0e639e08d1b279915ac85ae23cf2c4ca3250e1e,86913,0.828093,7
c0e639e08d1b279915ac85ae23cf2c4ca3250e1e,88992,0.66282,7
c0e639e08d1b279915ac85ae23cf2c4ca3250e1e,86919,0.547503,7
c0e639e08d1b279915ac85ae23cf2c4ca3250e1e,88991,0.50682,7
d3a6b8754b452555eb62faf362052bfcd359ca62,85592,0.894897,7
d3a6b8754b452555eb62faf362052bfcd359ca62,70222,0.763695,7
68fcd47f8f3734828c94c01fd9ac0febca480202,70221,0.656292,7
8ae0b2bcd26183a2518edba0a1d81dddffe8623e,5590,0.867927,7
8ae0b2bcd26183a2518edba0a1d81dddffe8623e,55201,0.514868,7
