mutation_year,mutation_week,company_id,branch_id,SBIHOOFDACT,SBINEVENACT1,SBINEVENACT2
2022,02,22f5063a890a595e6b10fe915e3e026457c977f5,88c8e16a909aa213d35ee970c98dcf4015076585,70102,,
2023,11,38c8a2bc50aae916dedc220fcf7fb108aaeba7ab,ee92f7e8f7e2541f9a68f312066e413e3136329b,7721,,
2021,41,c0b50c2d32ee684816ed363a79db6be97cd45d68,e21ecb1d83b557d7dab70be911382544716c2913,46311,,
2021,49,afdcd5642d1ef4629e09e05e912d01eac981906d,bd6f2f22fe935786e0cfc8437440846a956198e1,70102,,
2023,02,386258cfa702e06b78e0733c34d3a5e75c2141de,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,90011,,
2021,02,5fe0676488a75b28da2e1534b66d5b1872e479fb,abf0c8366d1eba7510f1a25ff45aad7e753d8827,70102,,
2021,26,2db15e267f6e07faa2109adc2257d705c55ece78,de98c88a38397061cb185ed0f5f007583e6f2550,4639,46692,4632
2022,25,2db15e267f6e07faa2109adc2257d705c55ece78,de98c88a38397061cb185ed0f5f007583e6f2550,4639,46692,4632
2021,10,99dfa61866ce5fb598545390ffbc1ae73f6a3afd,ec183700802c42e6faa53ff02c92ce4eb56013c3,4661,33123,
2021,39,99dfa61866ce5fb598545390ffbc1ae73f6a3afd,ec183700802c42e6faa53ff02c92ce4eb56013c3,4661,33123,
2022,41,99dfa61866ce5fb598545390ffbc1ae73f6a3afd,ec183700802c42e6faa53ff02c92ce4eb56013c3,4661,33123,
2021,22,4ecaa4d53c00c84936b328d6648aa437854fe558,7124bf51ffccb95ee59b4ba27bf08b2030c9f669,43999,78202,
2023,01,4ecaa4d53c00c84936b328d6648aa437854fe558,7124bf51ffccb95ee59b4ba27bf08b2030c9f669,43999,78202,
2021,42,ee095815811402730d672143b2d307ee8db8f43f,3e650049e5934bb2813d62f8533f4135b1f57a75,70102,,
2022,43,ee095815811402730d672143b2d307ee8db8f43f,3e650049e5934bb2813d62f8533f4135b1f57a75,70102,,
2023,13,ea0bb31de18ff0d17046fec98649c1a0fc612118,70809f6c4369e6a3c615e6990e33a1d4519fcb1d,66191,,
2021,05,e2c23e30589b8fe52e40ac7e9fd6832dcd1f849c,01b89c73638caf9994ffdd65e052253bf583ebad,78201,,
2022,04,e2c23e30589b8fe52e40ac7e9fd6832dcd1f849c,01b89c73638caf9994ffdd65e052253bf583ebad,78201,,
2023,05,e2c23e30589b8fe52e40ac7e9fd6832dcd1f849c,01b89c73638caf9994ffdd65e052253bf583ebad,78201,,
2021,04,36d4a221b5145c83015489788e53d4d03ee51889,ff95bf3532aef857a223a96b699c7af0124d5d06,6420,,
2021,45,36d4a221b5145c83015489788e53d4d03ee51889,ff95bf3532aef857a223a96b699c7af0124d5d06,6420,,
2022,48,36d4a221b5145c83015489788e53d4d03ee51889,ff95bf3532aef857a223a96b699c7af0124d5d06,6420,,
2021,19,2ba4cbbecdcd2a4910a9167f917d4da503e8bd98,ccac0b9246c0dd4b8d784335578f8f8a5e7068a9,6420,,
2021,13,43eb757d86edf3ff1111a8271c15e470bcc07961,d6038c4e4be45ccf966cec2124422c8d0ba1fd4c,70102,,
