code,descr_short_nl,descr_short_en,status
1089,Verv. overige voedingsmiddelen n.e.g.,Manufacture of other food products n.e.c.,1
109,Vervaardiging van diervoeders,Manufacture of prepared animal feeds,1
1091,Vervaardiging van veevoeders,Manufacture of prepared feeds for farm animals,1
1092,Verv. voeders voor huisdieren,Manufacture of prepared pet foods,1
11,Vervaardiging van dranken,Manufacture of beverages,1
110,Vervaardiging van dranken,Manufacture of beverages,1
1101,Verv. sterk alcoholische dranken door distilleren en rectificeren,"Distilling, rectifying and blending of spirits",1
11010,Vervaardiging van sterk alcoholische dranken,"Distilling, rectifying and blending of spirits",1
110101,Distilleerderijen en likeurstokerijen,Distilleries and liquor distilleries,1
110102,Verv. drinkb. ethylalcohol door gisting,Prod. of potable ethyl alcohol by fermentation,1
1102,Vervaardiging van wijn uit druiven,Manufacture of wine from grape,1
1103,Verv. cider en overige vruchtenwijnen,Manufacture of cider and other fruit wines,1
1104,Verv.overige niet-gedist.gegiste dranken,Manufacture of other non-distilled fermented beverages,1
1105,Vervaardiging van bier,Manufacture of beer,1
1106,Mouterijen,Manufacture of malt,1
1107,Verv. frisdranken; prod. gebotteld water,Manufacture of soft drinks and bottled water,1
12,Vervaardiging van tabaksproducten,Manufacture of tobacco products,1
120,Vervaardiging van tabaksproducten,Manufacture of tobacco products,1
1200,Vervaardiging van tabaksproducten,Manufacture of tobacco products,1
13,Vervaardiging van textiel,Manufacture of textiles,1
131,Bewerken en spinnen van textielvezels,Preparation and spinning of textile fibres,1
1310,Bewerken en spinnen van textielvezels,Preparation and spinning of textile fibres,1
13100,Bewerken en spinnen van textielvezels,Preparation and spinning of textile fibres,1
131001,Bewerken/spinnen katoen(achtige vezels),Preparation and spinning of cotton or cotton-type fibres,1
131002,Bew./spinnen kaardwol(achtige vezels),Preparation and spinning of carding wool or carding wool-type fibre,1
131003,Bewerken/spinnen kamwol(achtige vezels),Preparation and spinning of combing-wool and combing-wool-type fibres,1
131004,Bewerken/spinnen vlas(achtige vezels),Preparation and spinning of flax and flax-type fibres,1
131005,Twijnen e.d zijde; synthetische vezels,Preparation and twisting of silk,1
131006,Vervaardiging van naaigarens,Manufacture of yarn or sewing thread,1
131009,Bewerken/spinnen overige textielvezels,Preparation and spinning of textile fibres n.e.c.,1
132,Weven van textiel,Weaving of textiles,1
1320,Weven van textiel,Weaving of textiles,1
13200,Weven van textiel,Weaving of textiles,1
132001,Verv. katoenen of katoenachtige weefsels,Weaving of textiles,1
132002,Verv. kaardwollen/kaardwolacht. weefsels,Manufacture of carding wool or carding wool-type fibre,1
132003,Verv. kamwol of kamwolachtige weefsels,Manufacture of combing-wool and combing-wool-type fibres,1
132004,Verv. zijden of zijdeachtige weefsels,Manufacture of silk or silk-like fabrics,1
132009,Vervaardiging van overige weefsels,Manufacture of textile fibres n.e.c.,1
133,Textielveredeling,Finishing of textiles,1
1330,Textielveredeling,Finishing of textiles,1
139,Verv. overige textielproducten,Manufacture of other textiles,1
1391,Verv. gebreide en gehaakte stoffen,Manufacture of knitted and crocheted fabrics,1
1392,Verv. geconfectioneerde art. van textiel,"Manufacture of made-up textile articles, except apparel",1
1393,Vervaardiging van vloerkleden en tapijt,Manufacture of carpets and rugs,1
1394,"Verv. koord, bindgaren, touw en netten","Manufacture of cordage, rope, twine and netting",1
1395,Verv. gebonden textielvlies en artikelen,"Manufacture of non-wovens and articles made from non-wovens, except apparel",1
1396,Verv. technisch en industrieel textiel,Manufacture of other technical and industrial textiles,1
1399,Verv. overige textielproducten n.e.g.,Manufacture of other textiles n.e.c.,1
14,Vervaardiging van kleding,Manufacture of wearing apparel,1
141,Verv. kleding (geen bontkleding),"Manufacture of wearing apparel, except fur apparel",1
1411,Vervaardiging van kleding van leer,Manufacture of leather clothes,1
1412,Vervaardiging van werkkleding,Manufacture of workwear,1
1413,Vervaardiging van overige bovenkleding,Manufacture of other outerwear,1
1414,Vervaardiging van onderkleding,Manufacture of underwear,1
1419,Verv. baby-/sportkleding en kledingacc.,Manufacture of other wearing apparel and accessories,1
142,Vervaardiging van artikelen van bont,Manufacture of articles of fur,1
1420,Vervaardiging van artikelen van bont,Manufacture of articles of fur,1
143,Verv. gebreide en gehaakte kleding,Manufacture of knitted and crocheted apparel,1
1431,Verv. gebreide/gehaakte kousen en sokken,Manufacture of knitted and crocheted hosiery,1
1439,Verv. gebreide en gehaakte kleding,Manufacture of other knitted and crocheted apparel,1
15,"Verv. leer, lederwaren en schoenen",Manufacture of leather and related products,1
151,Looien/bewerken leer; verv. leerprod.,"Tanning/dressing of leather; manuf. of luggage, handbags, saddlery and harness",1
1511,Looien/bew. leer; bereiden/verven bont,Tanning and dressing of leather; dressing and dyeing of fur,1
15110,Looien en bereiden van leer; bereiden en verven van bont,Tanning and dressing of leather; dressing and dyeing of fur,1
151101,Looien en bewerken van leer,Tanning and dressing of leather,1
151102,Bereiden en verven van bont,Preparation and dyeing of fur,1
1512,"Verv. koffers, tassen, zadels e.d.","Manufacture of luggage, handbags and the like, saddlery and harness",1
152,Vervaardiging van schoenen,Manufacture of footwear,1
1520,Vervaardiging van schoenen,Manufacture of footwear,1
16,Primaire houtbew./verv. art. van hout ed,"Manufacture of wood and of products of wood and cork, except furniture; manufact",1
161,Primaire houtbewerking/verduurzamen hout,Sawmilling and planing of wood,1
1610,Primaire houtbewerking/verduurzamen hout,Sawmilling and planing of wood,1
16101,"Primaire houtbewerking (zagen, schaven)","Sawing, planing and other primary adaptation of wood",1
16102,Verduurzamen van hout,Preservation of wood,1
162,"Verv. artikelen van hout, kurk, riet","Manufacture of products of wood, cork, straw and plaiting materials",1
1621,Verv. fineer/plaatmateriaal op houtbasis,Manufacture of veneer sheets and wood-based panels,1
1622,Verv. panelen voor parketvloeren,Manufacture of assembled parquet floors,1
1623,Verv. overig timmerwerk voor de bouw,Manufacture of other builders carpentry and joinery,1
16231,"Verv. deuren, ramen en kozijnen van hout","Manufacture of doors, windows and frames of wood",1
16239,Verv. overig timmerwerk voor de bouw,"Manufacture of other builders carpentry for construction (no doors, windows and",1
1624,Vervaardiging van houten emballage,Manufacture of wooden containers,1
1629,Verv. overige art. van hout/kurk/riet,"Manuf. of oth. prod. of wood; of cork, straw and plaiting mat.(no furn.) ",1
16290,"Verv. ov. artikelen van hout; verv. artikelen van kurk, riet en vlechtwerk","Manuf. of oth. prod. of wood; of cork, straw and plaiting mat.(no furn.) ",1
162901,Verv. overige artikelen van hout,Manufacture of other products of wood,1
162902,"Verv. art. van kurk, riet en vlechtwerk","Manuf. of art. of cork, reed and wicker (no furniture)",1
17,Verv. papier(waren) en karton(waren),Manufacture of paper and paper products,1
171,"Verv. papierpulp, papier en karton","Manufacture of pulp, paper and paperboard",1
1711,Vervaardiging van papierpulp,Manufacture of pulp,1
1712,Vervaardiging van papier en karton,Manufacture of paper and paperboard,1
17121,Verv. grafisch papier en karton,Manufacture of graphic paper and cardboard,1
17122,Verv. papier en karton voor verpakking,Manufacture of paper and cardboard for packing,1
17129,Verv. papier/karton (niet grafisch/verp),Manufacture of paper and cardboard (no graphic and not for packing),1
172,Vervaardiging van papier- en kartonwaren,Manufacture of articles of paper and paperboard,1
1721,Verv. verpak.middelen van papier/karton,Manufacture of corrugated paper/paperboard and of containers of paper/paperboard,1
17211,Verv. verpakkingsmiddelen(papier/karton),Manufacturing of containers of paper and paperboard ,1
17212,Vervaardiging van golfpapier en -karton,Manufacturing of corrugated paper and paperboard,1
1722,Verv. huishoudelijke/sanitaire papierw.,Manufacture of household/sanitary articles of paper,1
1723,Verv. kantoorbenodigdheden van papier,Manufacture of paper stationery,1
1724,Vervaardiging van behangselpapier,Manufacture of wallpaper,1
1729,Verv. overige papier- en kartonwaren,Manufacture of other articles of paper and paperboard,1
18,"Drukkerijen, reproductie opgenomen media",Printing and reproduction of recorded media,1
181,Drukkerijen en dienstverlening ervoor,Printing and service activities related to printing,1
1811,Drukkerijen van dagbladen,Printing of newspapers,1
1812,Overige drukkerijen,Other printing,1
18121,Drukkerijen van boeken e.d.,"Printers of books, etc.",1
18122,Drukkerijen van tijdschriften,Printers of periodicals,1
18123,Drukkerijen van reclame,Printers of advertising,1
18124,Drukkerijen van verpakkingen,Printers of packings,1
18125,Drukkerijen van formulieren,Printers of forms,1
18129,Overige drukkerijen n.e.g.,Other printers n.e.c.,1
1813,Prepress- en premedia-activiteiten,Pre-press and pre-media services,1
1814,Grafische afwerking en verwante activit,Binding and related services,1
18140,Grafische afwerking en overige activiteiten verwant aan de drukkerij,Binding and related services,1
181401,Grafische afwerking,Binding and other graphic finishing,1
181402,Ov. activiteiten verwant aan drukkerij,Activities related to printing n.e.c.,1
182,Reproductie van opgenomen media,Reproduction of recorded media,1
1820,Reproductie van opgenomen media,Reproduction of recorded media,1
18200,Reproductie van opgenomen media,Reproduction of recorded media,1
182001,Reproductie van geluidsopnamen,Reproduction of sound recordings,1
182002,Reproductie van video-opnamen,Reproduction of video recordings,1
182003,Reproductie van computermedia,Reproduction of computer media,1
19,Verv. cokesovenprod. en aardolieverw.,Manufacture of coke and refined petroleum products,1
191,Vervaardiging van cokesovenproducten,Manufacture of coke oven products,1
1910,Vervaardiging van cokesovenproducten,Manufacture of coke oven products,1
19100,Vervaardiging van cokesovenproducten,Manufacture of coke oven products,1
191001,Verv. cokesovenprod. (geen pek(cokes)),Manufacture of coke oven products (no pitch or pitch cokes),1
191002,Vervaardiging van pek en pekcokes,Manufacture of pitch or pitch cokes,1
192,Aardolieverwerking,Processing of refined petroleum products,1
1920,Aardolieverwerking,Processing of refined petroleum products,1
19201,Aardolieraffinage,Petroleum refinery,1
19202,Aardolieverwerking (geen -raffinage),Processing of refined petroleum products (not refinery),1
20,Vervaardiging van chemische producten,Manufacture of chemicals and chemical products,1
201,Verv. chemische basisproducten e.d.,"Manuf. of basic chem., fertilisers, nitrogen comp., primary plastics/rubbers",1
2011,Vervaardiging van industriële gassen,Manufacture of industrial gases,1
2012,Vervaardiging van kleur- en verfstoffen,Manufacture of dyes and pigments,1
2013,Verv. overige anorg. basischemicaliën,Manufacture of other inorganic basic chemicals,1
20130,Verv. overige anorg. basischemicaliën,Manufacture of other inorganic basic chemicals,1
201301,Verrijking van uranium,Enrichment of uranium,1
201302,Verv. ov. anorganische basischemicaliën,Manufacture of other anorganic basic chemicals n.e.c.,1
2014,Verv. overige organ. basischemicaliën,Manufacture of other organic basic chemicals,1
20141,Verv. petrochemische producten,Manufacture of petrochemical products,1
20149,Verv. overige organ. basischemicaliën,Manufacture of organic basic chemicals (no petrochemical products),1
201491,Verv. niet-drinkb.ethylalcohol (gisting),Manufacturing non-potable ethanol by fermentation,1
201499,Verv. ov. organische basischemicaliën,Manufacture of other organic basic chemicals n.e.c.,1
2015,Verv. kunstmeststoffen/stikstofverbind.,Manufacture of fertilisers and nitrogen compounds,1
2016,Verv. kunststof in primaire vorm,Manufacture of plastics in primary forms,1
2017,Verv. synth. rubber in primaire vorm,Manufacture of synthetic rubber in primary forms,1
202,Verv. verdelgingsmiddelen e.d.,Manufacture of pesticides and other agrochemical products,1
